year,era,pre-2012,url
1940,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1940
1941,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1941
1942,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1942
1943,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1943
1944,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1944
1945,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1945
1946,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1946
1947,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1947
1948,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1948
1949,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1949
1950,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1950
1951,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1951
1952,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1952
1953,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1953
1954,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1954
1955,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1955
1956,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1956
1957,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1957
1958,pre-hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1958
1958,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_number-one_singles_of_1958#Hot_100
1959,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1959
1960,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1960
1961,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1961
1962,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1962
1963,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1963
1964,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1964
1965,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1965
