title,artist,year,era,url
El Paso,Marty Robbins,1960,hot100,https://en.wikipedia.org/wiki/El_Paso_(song)
Running Bear,Johnny Preston,1960,hot100,https://en.wikipedia.org/wiki/Running_Bear
Teen Angel,Mark Dinning,1960,hot100,https://en.wikipedia.org/wiki/Teen_Angel_(song)
Theme from A Summer Place,Percy Faith,1960,hot100,https://en.wikipedia.org/wiki/Theme_from_A_Summer_Place
Stuck on You,Elvis Presley,1960,hot100,https://en.wikipedia.org/wiki/Stuck_on_You_(Elvis_Presley_song)
Cathy's Clown,The Everly Brothers,1960,hot100,https://en.wikipedia.org/wiki/Cathy%27s_Clown
Everybody's Somebody's Fool,Connie Francis,1960,hot100,https://en.wikipedia.org/wiki/Everybody%27s_Somebody%27s_Fool
Alley Oop,Hollywood Argyles,1960,hot100,https://en.wikipedia.org/wiki/Alley_Oop_(song)
I'm Sorry,Brenda Lee,1960,hot100,https://en.wikipedia.org/wiki/I%27m_Sorry_(Brenda_Lee_song)
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1960,hot100,https://en.wikipedia.org/wiki/Itsy_Bitsy_Teenie_Weenie_Yellow_Polkadot_Bikini
It's Now or Never,Elvis Presley,1960,hot100,https://en.wikipedia.org/wiki/It%27s_Now_or_Never_(song)
The Twist,Chubby Checker,1960,hot100,https://en.wikipedia.org/wiki/The_Twist_(song)
My Heart Has a Mind of Its Own,Connie Francis,1960,hot100,https://en.wikipedia.org/wiki/My_Heart_Has_a_Mind_of_Its_Own
Mr. Custer,Larry Verne,1960,hot100,https://en.wikipedia.org/wiki/Mr._Custer
Save the Last Dance for Me,The Drifters,1960,hot100,https://en.wikipedia.org/wiki/Save_the_Last_Dance_for_Me
I Want to Be Wanted,Brenda Lee,1960,hot100,https://en.wikipedia.org/wiki/I_Want_to_Be_Wanted
"""Save the Last Dance for Me""",The Drifters,1960,hot100,
Georgia on My Mind,Ray Charles,1960,hot100,https://en.wikipedia.org/wiki/Georgia_on_My_Mind
Stay,Maurice Williams and the Zodiacs,1960,hot100,https://en.wikipedia.org/wiki/Stay_(Maurice_Williams_song)
Are You Lonesome Tonight?,Elvis Presley,1960,hot100,https://en.wikipedia.org/wiki/Are_You_Lonesome_Tonight%3F#Elvis_Presley's_version
Are You Lonesome Tonight?,Elvis Presley,1961,hot100,https://en.wikipedia.org/wiki/Are_You_Lonesome_Tonight%3F
Wonderland by Night,Bert Kaempfert,1961,hot100,https://en.wikipedia.org/wiki/Wonderland_by_Night
Will You Love Me Tomorrow,The Shirelles,1961,hot100,https://en.wikipedia.org/wiki/Will_You_Love_Me_Tomorrow
Calcutta,Lawrence Welk,1961,hot100,https://en.wikipedia.org/wiki/Calcutta_(song)
Pony Time,Chubby Checker,1961,hot100,https://en.wikipedia.org/wiki/Pony_Time
Surrender,Elvis Presley,1961,hot100,https://en.wikipedia.org/wiki/Surrender_(Elvis_Presley_song)
Blue Moon,The Marcels,1961,hot100,https://en.wikipedia.org/wiki/Blue_Moon_(1934_song)
Runaway,Del Shannon,1961,hot100,https://en.wikipedia.org/wiki/Runaway_(Del_Shannon_song)
Mother-in-Law,Ernie K-Doe,1961,hot100,https://en.wikipedia.org/wiki/Mother-in-Law_(song)
Travelin' Man,Ricky Nelson,1961,hot100,https://en.wikipedia.org/wiki/Travelin%27_Man
Running Scared,Roy Orbison,1961,hot100,https://en.wikipedia.org/wiki/Running_Scared_(Roy_Orbison_song)
"""Travelin' Man""",Ricky Nelson,1961,hot100,
Moody River,Pat Boone,1961,hot100,https://en.wikipedia.org/wiki/Moody_River
Quarter to Three,Gary U.S. Bonds,1961,hot100,https://en.wikipedia.org/wiki/Quarter_to_Three
Tossin' and Turnin',Bobby Lewis,1961,hot100,https://en.wikipedia.org/wiki/Tossin%27_and_Turnin%27
Wooden Heart,Joe Dowell,1961,hot100,https://en.wikipedia.org/wiki/Wooden_Heart
Michael,The Highwaymen,1961,hot100,https://en.wikipedia.org/wiki/Michael_Row_the_Boat_Ashore
Take Good Care of My Baby,Bobby Vee,1961,hot100,https://en.wikipedia.org/wiki/Take_Good_Care_of_My_Baby
Hit the Road Jack,Ray Charles,1961,hot100,https://en.wikipedia.org/wiki/Hit_the_Road_Jack
Runaround Sue,Dion,1961,hot100,https://en.wikipedia.org/wiki/Runaround_Sue
Big Bad John,Jimmy Dean,1961,hot100,https://en.wikipedia.org/wiki/Big_Bad_John
Please Mr. Postman,The Marvelettes,1961,hot100,https://en.wikipedia.org/wiki/Please_Mr._Postman
The Lion Sleeps Tonight,The Tokens,1961,hot100,https://en.wikipedia.org/wiki/The_Lion_Sleeps_Tonight
The Lion Sleeps Tonight,The Tokens,1962,hot100,https://en.wikipedia.org/wiki/The_Lion_Sleeps_Tonight
The Twist,Chubby Checker,1962,hot100,https://en.wikipedia.org/wiki/The_Twist_(song)
Peppermint Twist,Joey Dee and the Starliters,1962,hot100,https://en.wikipedia.org/wiki/Peppermint_Twist
