album,artist,date,genre,name,score,tags,url
Planet Her,Doja Cat,2021-06-30T15:33:00-0400,hip hop,Doja Cat - Planet Her,5,doja cat | planet her | 2021 | album | kemosabe | rap | hip hop | pop rap | 5/10,https://www.theneedledrop.com/articles/2021/6/doja-cat-planet-her
Butterfly 3000,King Gizzard &amp; The Lizard Wizard,2021-06-17T23:33:00-0400,rock,King Gizzard &amp; The Lizard Wizard - Butterfly 3000,5,king gizzard | butterfly 3000 | album | 2021 | self-released | rock | synthpop | pyschedelic | 5/10 | review,https://www.theneedledrop.com/articles/2021/6/king-gizzard-amp-the-lizard-wizard-butterfly-3000
Black Metal 2,Dean Blunt,2021-06-17T23:35:00-0400,other,Dean Blunt - Black Metal 2,7,dean blunt | black metal 2 | album | 2021 | rough trade | uk | other | experimental | art pop | 7/10 | review,https://www.theneedledrop.com/articles/2021/6/dean-blunt-black-metal-2
The Life of Pi'erre 5,Pi'erre Bourne,2021-06-19T23:01:00-0400,hip hop,Pi'erre Bourne - The Life of Pi'erre 5,5,pierre bourne | the life of pi'erre | 2021 | album | sosshouse | rap | hip hop | trap | 5/10 | review,https://www.theneedledrop.com/articles/2021/6/pierre-bourne-the-life-of-pierre-5
Hall of Fame,Polo G,2021-06-21T23:03:00-0400,hip hop,Polo G - Hall of Fame,6,polo g | hall of fame | 2021 | album | columbia | rap | hip hop | trap | 6/10 | review,https://www.theneedledrop.com/articles/2021/6/polo-g-hall-of-fame
Ancient Dreams in a Modern Land,Marina,2021-06-23T23:05:00-0400,pop,Marina - Ancient Dreams in a Modern Land,6,marina and the diamonds | ancient dreams in a modern land | 2021 | album | atlantic | pop | 6/10 | review,https://www.theneedledrop.com/articles/2021/6/marina-ancient-dreams-in-a-modern-land
I Lie Here Buried with My Rings and My Dresses,Backxwash,2021-06-24T23:07:00-0400,hip hop,Backxwash - I Lie Here Buried with My Rings and My Dresses,8,backxwash | i lie here buried with my rings and my dresses | 2021 | album | self-released | rap | hip hop | industrial hip hop | 8/10 | review,https://www.theneedledrop.com/articles/2021/6/backxwash-i-lie-here-buried-with-my-rings-and-my-dresses
Call Me If You Get Lost,"Tyler, the Creator",2021-06-28T23:10:00-0400,hip hop,"Tyler, the Creator - Call Me If You Get Lost",8,tyler the creator | call me if you get lost | 2021 | album | columbia | rap | hip hop | alternative hip hop | neo-soul | west coast | 8/10 | review,https://www.theneedledrop.com/articles/2021/6/tyler-the-creator-call-me-if-you-get-lost
The Fool,Bladee,2021-06-12T02:25:00-0400,hip hop,Bladee - The Fool,6,bladee | the fool | album | 2021 | year0001 | rap | hip hop | drain gang | trap | 6/10 | review,https://www.theneedledrop.com/articles/2021/6/bladee-the-fool
"A Tiny House, In Secret Speeches, Polar Equals",Sweet Trip,2021-06-14T23:28:00-0400,pop,"Sweet Trip - A Tiny House, In Secret Speeches, Polar Equals",7,sweet trip | a tiny house | 2021 | new | album | comeback | darla | pop | dream pop | indietronica | 7/10 | review,https://www.theneedledrop.com/articles/2021/6/sweet-trip-a-tiny-house-in-secret-speeches-polar-equals
Culture III,Migos,2021-06-15T23:30:00-0400,hip hop,Migos - Culture III,2,migos | culture iii | album | 2021 | quality control | rap | hip hop | trap | 2/10 | offset | quavo | takeoff | review,https://www.theneedledrop.com/articles/2021/6/migos-culture-iii
Avow,Portal,2021-06-04T02:23:00-0400,loud rock,Portal - Avow,5,portal | avow | 2021 | album | profound lore | loud rock | metal | death metal | avant-garde metal | 5/10 | review,https://www.theneedledrop.com/articles/2021/6/portal-avow
Un canto por México vol. 2,Natalia Lafourcade,2021-06-05T17:58:00-0400,other,Natalia Lafourcade - Un canto por México vol. 2,6,natalia lafourcade | un canto por mexico | volume 2 | album | 2021 | new | sony | other | singer | songwriter | mexican | folk | ranchera | bolero | 6/10 | review,https://www.theneedledrop.com/articles/2021/6/natalia-lafourcade-un-canto-por-mxico-vol-2
Blue Weekend,Wolf Alice,2021-06-07T23:01:00-0400,rock,Wolf Alice - Blue Weekend,4,wolf alice | blue weekend | 2021 | new | album | uk | dirty hit | rock | alternative | indie | dream pop | 4/10 | review,https://www.theneedledrop.com/articles/2021/6/wolf-alice-blue-weekend
Jubilee,Japanese Breakfast,2021-06-08T23:03:00-0400,pop,Japanese Breakfast - Jubilee,7,japanese breakfast | jubilee | 2021 | album | new | dead oceans | pop | indie | michelle zauber | singer | songwriter | 7/10 | review,https://www.theneedledrop.com/articles/2021/6/japanese-breakfast-jubilee
The Voice of the Heroes,Lil Baby &amp; Lil Durk,2021-06-09T23:05:00-0400,hip hop,Lil Baby &amp; Lil Durk - The Voice of the Heroes,6,lil baby | lil durk | voice of the heroes | album | new | collab | 2021 | quality control | rap | hip hop | trap | conscious | 6/10 | review,https://www.theneedledrop.com/articles/2021/6/lil-baby-amp-lil-durk-the-voice-of-the-heroes
Cavalcade,black midi,2021-06-02T23:21:00-0400,rock,black midi - Cavalcade,8,black midi | cavalcade | 2021 | album | uk | rough trade | rock | avant-prog | art rock | 8/10 | review,https://www.theneedledrop.com/articles/2021/6/black-midi-cavalcade
Black to the Future,Sons of Kemet,2021-05-20T12:56:00-0400,other,Sons of Kemet - Black to the Future,7,sons of kemet | black to the future | 2021 | album | impulse | other | jazz | afro-jazz | 7/10 | review,https://www.theneedledrop.com/articles/2021/5/sons-of-kemet-black-to-the-future
Scaled and Icy,twenty one pilots,2021-05-24T15:37:00-0400,pop,twenty one pilots - Scaled and Icy,2,twenty one pilots | scaled and icy | 2021 | album | fueled by ramen | tyler joseph | pop | alternative | 2/10 | review,https://www.theneedledrop.com/articles/2021/5/twenty-one-pilots-scaled-and-icy
Yards,Tune,2021-05-25T11:22:00-0400,pop,Tune-Yards - sketchy.,7,tune-yards | sketchy | 2021 | album | 4ad | pop | indie | neo-psychedelia | merrill garbus | 7/10 | review,https://www.theneedledrop.com/articles/2021/5/tune-yards-sketchy
SOUR,Olivia Rodrigo,2021-05-26T23:39:00-0400,pop,Olivia Rodrigo - SOUR,7,olivia rodrigo | sour | 2021 | album | debut | geffen | drivers license | deja vu | good 4 u | pop | teen | breakup | 7/10 | review,https://www.theneedledrop.com/articles/2021/5/olivia-rodrigo-sour
Hommy,Mach,2021-05-28T19:47:00-0400,hip hop,Mach-Hommy - Pray for Haiti,7,mach-hommy | pray for haiti | 2021 | album | griselda | westside gunn | rap | hip hop | east coast | 7/10 | review,https://www.theneedledrop.com/articles/2021/5/mach-hommy-pray-for-haiti
...And Again Into the Light,Panopticon,2021-05-31T23:16:00-0400,loud rock,Panopticon - ...And Again Into the Light,8,panopticon | and again into the light | 2021 | album | bindrune | metal | loud rock | post-rock | atmospheric black metal | americana | 8/10 | review,https://www.theneedledrop.com/articles/2021/5/panopticon-and-again-into-the-light
Exodus,DMX,2021-06-01T23:18:00-0400,hip hop,DMX - Exodus,5,dmx | exodus | 2021 | album | def jam | rap | hip hop | 5/10 | review,https://www.theneedledrop.com/articles/2021/6/dmx-exodus
Daddy's Home,St. Vincent,2021-05-18T11:12:00-0400,pop,St. Vincent - Daddy's Home,9,st. vincent | daddy's home | 2021 | album | loma vista | pop | psychedelic soul | soft rock | 9/10 | review,https://www.theneedledrop.com/articles/2021/5/st-vincent-daddys-home
if i could make it go quiet,girl in red,2021-05-05T23:10:00-0400,pop,girl in red - if i could make it go quiet,3,girl in red | if i could make it go quiet | 2021 | album | debut | serotonin | you stupid bitch | world in red | pop | indie | singer | songwriter | bedroom pop | 3/10 | review,https://www.theneedledrop.com/articles/2021/5/girl-in-red-if-i-could-make-it-go-quiet
Fortitude,Gojira,2021-05-06T23:14:00-0400,loud rock,Gojira - Fortitude,7,gojira | fortitude | 2021 | album | amazonia | the chant | roadrunner | loud rock | metal | groove metal | progressive | 7/10 | review,https://www.theneedledrop.com/articles/2021/5/gojira-fortitude
Rainbow Bridge 3,Sematary,2021-05-09T23:14:00-0400,hip hop,Sematary - Rainbow Bridge 3,8,sematary | rainbow bridge | 2021 | mixtape | haunted mound | rap | hip hop | trap metal | horrorcore | noise | witch house | 8/10 | review,https://www.theneedledrop.com/articles/2021/5/sematary-rainbow-bridge-3
Super What?,Czarface &amp; MF DOOM,2021-05-11T23:11:00-0400,hip hop,Czarface &amp; MF DOOM - Super What?,6,czarface | mf doom | super what | collab | album | 2021 | silver age | rap | hip hop | east coast | boom bap | inspectah deck | esoteric | 7l | 6/10 | review,https://www.theneedledrop.com/articles/2021/5/czarface-amp-mf-doom-super-what
Van Weezer,Weezer,2021-05-12T23:23:00-0400,rock,Weezer - Van Weezer,5,weezer | van weezer | 2021 | album | crush | rock | alternative | power pop | hard rock | throwback | 5/10 | review,https://www.theneedledrop.com/articles/2021/5/weezer-van-weezer
Bright Green Field,Squid,2021-05-13T23:33:00-0400,rock,Squid - Bright Green Field,7,squid | bright green field | 2021 | album | uk | warp | rock | post-punk | art punk | 7/10 | review,https://www.theneedledrop.com/articles/2021/5/squid-bright-green-field
