Team	Wins	Avg Age	Active	Salary(total in $M)
Arizona Cardinals	7	27.4	$154384100.00	154.3841
Atlanta Falcons	11	26.45	$157666798.00	157.666798
Baltimore Ravens	7	26.6	$134670306.00	134.670306
Buffalo Bills	7	26.7	$139720093.00	139.720093
Carolina Panthers	6	26.75	$154994278.00	154.994278
Chicago Bears	3	26.28	$144061149.00	144.061149
Cincinnati Bengals	6	25.52	$139855574.00	139.855574
Cleveland Browns	1	24.25	$113317279.00	113.317279
Dallas Cowboys	13	26.04	$137061990.00	137.06199
Denver Broncos	9	26.11	$149908645.00	149.908645
Detroit Lions	9	25.77	$141941975.00	141.941975
Green Bay Packers	10	25.85	$150044453.00	150.044453
Houston Texans	9	25.6	$133467065.00	133.467065
Indianapolis Colts	8	25.62	$135822350.00	135.82235
Jacksonville Jaguars	3	25.64	$153411580.00	153.41158
Kansas City Chiefs	12	25.87	$141076528.00	141.076528
Los Angeles Rams	4	25.23	$146914285.00	146.914285
Miami Dolphins	10	26.62	$130477781.00	130.477781
Minnesota Vikings	8	26.06	$136268561.00	136.268561
New England Patriots	14	26.42	$142473404.00	142.473404
New Orleans Saints	7	26.55	$127273255.00	127.273255
New York Giants	11	25.68	$155321043.00	155.321043
New York Jets	5	25.58	$121122908.00	121.122908
Oakland Raiders	7	26.09	$158310806.00	158.310806
Philadelphia Eagles	7	26.36	$145518303.00	145.518303
Pittsburgh Steelers	11	26.06	$152459177.00	152.459177
San Diego Chargers	5	25.66	$138405987.00	138.405987
San Francisco 49ers	2	25.77	$109640818.00	109.640818
Seattle Seahawks	10	25.75	$153648618.00	153.648618
Tampa Bay Buccaneers	9	26.23	$141511896.00	141.511896
Tennessee Titans	9	26.53	$150611974.00	150.611974
Washington Redskins	8	25.94	$155812636.00	155.812636
